,country,province,age,sex,RecoveryRate,Hospitalizations,NonHospitalizations,deceased
66,Argentina,Tierra del Fuego,39.49514563106796,0.5533980582524272,0.0,0.0,0.25,0.0
67,Argentina,Tucuman,43.02439024390244,0.4878048780487805,0.0,0.0,0.25,0.0
68,Australia,New South Wales,44.5,0.5204081632653061,0.0,0.0,0.24489795918367346,0.00510204081632653
69,Australia,Queensland,43.17391304347826,0.6304347826086957,0.08695652173913043,0.0,0.16304347826086957,0.0
70,Australia,South Australia,51.45454545454545,0.5454545454545454,0.06818181818181818,0.0,0.18181818181818182,0.0
71,Australia,Tasmania,23.0,1.0,0.0,0.0,0.25,0.0
72,Australia,Victoria,50.96153846153846,0.6538461538461539,0.0,0.0,0.25,0.0
73,Austria,Burgenland,43.36986301369863,0.6027397260273972,0.0,0.0,0.25,0.0
74,Austria,Carinthia,47.64,0.49333333333333335,0.0,0.0,0.25,0.0
75,Austria,Lower Austria,44.688427299703264,0.5400593471810089,0.0,0.0,0.25,0.0
76,Austria,Salzburg,46.6,0.5384615384615384,0.0,0.0,0.25,0.0
77,Austria,Styria,42.99476439790576,0.5916230366492147,0.0,0.0,0.25,0.0
78,Austria,Tyrol,44.42944785276074,0.5828220858895705,0.0,0.0,0.25,0.0
79,Austria,Upper Austria,45.43298969072165,0.5515463917525774,0.0,0.0,0.25,0.0
80,Austria,Vienna,54.40384615384615,0.36538461538461536,0.0,0.0,0.25,0.0
81,Austria,Vorarlberg,44.042857142857144,0.6142857142857143,0.0,0.0,0.25,0.0
82,Bahamas,Bimini,45.5,0.2,0.0,0.0,0.225,0.025
83,Bahamas,Grand Bahama,40.75,0.125,0.0,0.0,0.25,0.0
84,Bahamas,New Providence,49.95744680851064,0.3829787234042553,0.0,0.0,0.25,0.0
85,Belgium,Brussels,53.47945205479452,0.4954337899543379,0.0,0.0,0.25,0.0
86,Belgium,Flanders,53.83526570048309,0.486231884057971,0.0,0.0,0.25,0.0
87,Belgium,Wallonia,55.013355048859935,0.4781758957654723,0.0,0.0,0.25,0.0
88,Bolivia,Cochabamba,46.285714285714285,0.8571428571428571,0.0,0.0,0.25,0.0
89,Bolivia,La Paz,55.333333333333336,0.6666666666666666,0.0,0.0,0.25,0.0
90,Bolivia,Oruro,30.0,0.3333333333333333,0.0,0.0,0.25,0.0
91,Bolivia,Potosi,68.0,0.0,0.0,0.0,0.25,0.0
92,Bolivia,Santa Cruz,46.0,0.3793103448275862,0.0,0.0,0.25,0.0
93,Brazil,Acre,47.75,0.625,0.0,0.0,0.25,0.0
94,Brazil,Alagoas,46.142857142857146,0.42857142857142855,0.0,0.0,0.25,0.0
95,Brazil,Amapa,38.5,0.5,0.0,0.0,0.25,0.0
96,Brazil,Amazonas,45.0,0.625,0.0,0.0,0.25,0.0
97,Brazil,Bahia,48.46,0.5,0.0,0.0,0.25,0.0
98,Brazil,Ceara,59.0,0.4666666666666667,0.0,0.0,0.25,0.0
99,Brazil,Distrito Federal,48.5,0.6363636363636364,0.0,0.0,0.25,0.0
100,Brazil,Espirito Santo,43.72727272727273,0.6818181818181818,0.0,0.0,0.25,0.0
101,Brazil,Goias,49.4,0.2,0.0,0.0,0.25,0.0
102,Brazil,Maranhao,57.333333333333336,0.3333333333333333,0.0,0.0,0.25,0.0
103,Brazil,Mato Grosso,40.333333333333336,0.3333333333333333,0.0,0.0,0.25,0.0
104,Brazil,Mato Grosso do Sul,40.0,0.5,0.0,0.0,0.25,0.0
105,Brazil,Minas Gerais,43.422222222222224,0.5333333333333333,0.0,0.0,0.25,0.0
106,Brazil,Para,38.714285714285715,0.42857142857142855,0.0,0.0,0.25,0.0
107,Brazil,Paraiba,45.875,0.625,0.0,0.0,0.25,0.0
108,Brazil,Parana,40.02777777777778,0.4722222222222222,0.0,0.0,0.25,0.0
109,Brazil,Pernambuco,46.23076923076923,0.5,0.0,0.0,0.25,0.0
110,Brazil,Piaui,40.0,1.0,0.0,0.0,0.25,0.0
111,Brazil,Rio Grande Do Sul,43.6,0.8,0.0,0.0,0.25,0.0
112,Brazil,Rio Grande do Norte,42.142857142857146,0.42857142857142855,0.0,0.0,0.25,0.0
113,Brazil,Rio Grande do Sul,45.827586206896555,0.5977011494252874,0.0,0.0,0.25,0.0
114,Brazil,Rio de Janeiro,49.51219512195122,0.3902439024390244,0.0,0.0,0.25,0.0
115,Brazil,Rondonia,37.333333333333336,0.3333333333333333,0.0,0.0,0.25,0.0
116,Brazil,Roraima,90.0,0.0,0.0,0.0,0.25,0.0
117,Brazil,Santa Catarina,45.94444444444444,0.5555555555555556,0.0,0.0,0.25,0.0
118,Brazil,Sao Paulo,41.71153846153846,0.5384615384615384,0.019230769230769232,0.0,0.23076923076923078,0.0
119,Brazil,Sergipe,48.13333333333333,0.3333333333333333,0.0,0.0,0.25,0.0
120,Brazil,Tocantins,40.333333333333336,0.3333333333333333,0.0,0.0,0.25,0.0
121,Cambodia,Sihanoukville,60.0,1.0,0.0,0.0,0.25,0.0
122,Canada,Alberta,44.88461538461539,0.46153846153846156,0.0,0.0,0.25,0.0
