,Unnamed: 0,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
40,2315,Montana,US,2020-09-20 04:22:56,47.3752671,-109.6387579,0,0,0,0.0,"Unassigned, Montana, US",,
41,2407,Nebraska,US,2020-09-20 04:22:56,41.7370229,-99.5873816,194,0,0,194.0,"Unassigned, Nebraska, US",,0.0
42,2429,Nevada,US,2020-09-20 04:22:56,39.5158825,-116.8537227,0,0,0,0.0,"Unassigned, Nevada, US",,
43,2442,New Hampshire,US,2020-09-20 04:22:56,43.4849133,-71.6553992,3,0,0,3.0,"Unassigned, New Hampshire, US",,0.0
44,2462,New Jersey,US,2020-09-20 04:22:56,40.0757384,-74.4041622,316,0,0,316.0,"Unassigned, New Jersey, US",,0.0
45,2496,New Mexico,US,2020-09-20 04:22:56,34.5708167,-105.993007,1361,0,0,1361.0,"Unassigned, New Mexico, US",,0.0
46,2555,New York,US,2020-09-20 04:22:56,40.7127281,-74.0060152,0,16,0,-16.0,"Unassigned, New York, US",,
47,2651,North Carolina,US,2020-09-20 04:22:56,35.6729639,-79.0392919,0,0,0,0.0,"Unassigned, North Carolina, US",,
48,2712,North Dakota,US,2020-09-20 04:22:56,47.6201461,-100.540737,0,0,0,0.0,"Unassigned, North Dakota, US",,
49,2797,Ohio,US,2020-09-20 04:22:56,40.2253569,-82.6881395,0,0,0,0.0,"Unassigned, Ohio, US",,
50,2865,Oklahoma,US,2020-09-20 04:22:56,34.9550817,-97.2684063,0,0,0,0.0,"Out of OK, Oklahoma, US",,
51,2880,Oklahoma,US,2020-09-20 04:22:56,34.9550817,-97.2684063,70,0,0,70.0,"Unassigned, Oklahoma, US",,0.0
52,2916,Oregon,US,2020-09-20 04:22:56,43.9792797,-120.737257,0,0,0,0.0,"Unassigned, Oregon, US",,
53,2982,Pennsylvania,US,2020-09-20 04:22:56,40.9699889,-77.7278831,0,0,0,0.0,"Unassigned, Pennsylvania, US",,
54,3046,Puerto Rico,US,2020-09-20 04:22:56,18.2214149,-66.41328179513847,777,0,0,777.0,"Out of PR, Puerto Rico, US",,0.0
55,3063,Puerto Rico,US,2020-09-20 04:22:56,18.2214149,-66.41328179513847,556,605,0,-49.0,"Unassigned, Puerto Rico, US",,108.81294964028775
56,3071,Recovered,US,2020-09-20 04:22:56,32.4649056,-111.2006877,0,0,2577446,-2577446.0,"Recovered, US",,
57,3076,Rhode Island,US,2020-09-20 04:22:56,41.7962409,-71.5992372,2246,1088,0,1158.0,"Unassigned, Rhode Island, US",,48.44167408726626
58,3121,South Carolina,US,2020-09-20 04:22:56,33.6874388,-80.4363743,0,0,0,0.0,"Unassigned, South Carolina, US",,
59,3187,South Dakota,US,2020-09-20 04:22:56,44.6471761,-100.348761,0,0,0,0.0,"Unassigned, South Dakota, US",,
60,3258,Tennessee,US,2020-09-20 04:22:56,35.7730076,-86.2820081,2811,23,0,2788.0,"Out of TN, Tennessee, US",,0.8182141586623978
61,3278,Tennessee,US,2020-09-20 04:22:56,35.7730076,-86.2820081,2803,6,0,2797.0,"Unassigned, Tennessee, US",,0.21405636817695325
62,3518,Texas,US,2020-09-20 04:22:56,31.8160381,-99.5120986,0,0,0,0.0,"Unassigned, Texas, US",,
63,3554,Utah,US,2020-09-20 04:22:56,39.4225192,-111.7143584,0,0,0,0.0,"Unassigned, Utah, US",,
64,3569,Vermont,US,2020-09-20 04:22:56,44.5990718,-72.5002608,8,0,0,8.0,"Unassigned, Vermont, US",,0.0
65,3697,Virginia,US,2020-09-20 04:22:56,37.1232245,-78.4927721,0,0,0,0.0,"Unassigned, Virginia, US",,
66,3742,Washington,US,2020-09-20 04:22:56,38.8949924,-77.0365581,292,5,0,287.0,"Unassigned, Washington, US",,1.7123287671232876
67,3796,West Virginia,US,2020-09-20 04:22:56,38.4758406,-80.8408415,0,0,0,0.0,"Unassigned, West Virginia, US",,
68,3866,Wisconsin,US,2020-09-20 04:22:56,44.4308975,-89.6884637,0,0,0,0.0,"Unassigned, Wisconsin, US",,
69,3898,Wyoming,US,2020-09-20 04:22:56,43.1700264,-107.5685348,1,0,0,0.0,"Unassigned, Wyoming, US",,0.0
