,level_0,index,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,CaseFatality_Ratio
43,43,44,Ituri,Algeria,2020-09-20 04:22:56,28.0339,1.6596,49623,1665,34923,13035.0,Algeria,113.16264472888365,3.3552989541140197
44,44,45,Jubbada Dhexe جوبا الوسطى,Andorra,2020-09-20 04:22:56,42.5063,1.5218,1564,53,1164,347.0,Andorra,2024.202420242024,3.3887468030690537
45,45,46,العصابة,Angola,2020-09-20 04:22:56,-11.2027,17.8739,3901,147,1445,2309.0,Angola,11.869312329589718,3.7682645475519103
46,46,47,Адыгея,Armenia,2020-09-20 04:22:56,40.0691,45.0382,47154,928,42551,3675.0,Armenia,1591.3019356554364,1.9680196801968013
47,47,48,محافظة شبوة,Austria,2020-09-20 04:22:56,47.5162,14.5501,37474,765,28961,7748.0,Austria,416.08189731746313,2.0414153813310563
48,48,49,Ростовская область,Azerbaijan,2020-09-20 04:22:56,40.1431,47.5769,39042,574,36601,1867.0,Azerbaijan,385.06091471939277,1.4702115670303777
49,49,50,Рівненська область,Bahrain,2020-09-20 04:22:56,26.0275,50.55,64499,221,57299,6979.0,Bahrain,3790.529171953409,0.3426409711778477
50,50,51,استان فارس,Belarus,2020-09-20 04:22:56,53.7098,27.9534,75461,776,73212,1473.0,Belarus,798.5864804465845,1.0283457680126158
51,51,52,منطقة القصيم,Bulgaria,2020-09-20 04:22:56,42.7339,25.4858,18819,755,13558,4506.0,Bulgaria,270.8375758892817,4.0119028641266805
52,52,53,Ogooué-Lolo,Burkina Faso,2020-09-20 04:22:56,12.2383,-1.5616,1816,56,1176,584.0,Burkina Faso,8.687632628719763,3.0837004405286343
53,53,54,Béni Abbès ⴰⵢⵜ ⴰⴱⴱⴰⵙ بني عباس,Burundi,2020-09-20 04:22:56,-3.3731,29.9189,473,1,374,98.0,Burundi,3.9778715964914335,0.211416490486258
54,54,55,Khomas Region,Cabo Verde,2020-09-20 04:22:56,16.5388,-23.0418,5186,50,4581,555.0,Cabo Verde,932.7539443297336,0.9641342074816814
55,55,56,Kebbi,Cameroon,2020-09-20 04:22:56,3.848,11.5021,20431,416,19124,891.0,Cameroon,76.9649087330516,2.0361215799520336
56,56,57,In Guezzam ⵄⵉⵏ ⴳⴻⵣⵣⴰⵎ عين قزام,Central African Republic,2020-09-20 04:22:56,6.6111,20.9394,4786,62,1830,2894.0,Central African Republic,99.09386876874315,1.2954450480568325
