,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
47,North Carolina,US,2020-09-20 04:22:56,35.6729639,-79.03929190000001,0,0,0,0.0,"Unassigned, North Carolina, US",,
48,North Dakota,US,2020-09-20 04:22:56,47.6201461,-100.540737,0,0,0,0.0,"Unassigned, North Dakota, US",,
49,Ohio,US,2020-09-20 04:22:56,40.225356899999994,-82.6881395,0,0,0,0.0,"Unassigned, Ohio, US",,
50,Oklahoma,US,2020-09-20 04:22:56,34.9550817,-97.2684063,0,0,0,0.0,"Out of OK, Oklahoma, US",,
51,Oklahoma,US,2020-09-20 04:22:56,34.9550817,-97.2684063,70,0,0,70.0,"Unassigned, Oklahoma, US",,0.0
52,Oregon,US,2020-09-20 04:22:56,43.9792797,-120.737257,0,0,0,0.0,"Unassigned, Oregon, US",,
53,Pennsylvania,US,2020-09-20 04:22:56,40.9699889,-77.72788309999999,0,0,0,0.0,"Unassigned, Pennsylvania, US",,
54,Puerto Rico,US,2020-09-20 04:22:56,18.2214149,-66.41328179513847,777,0,0,777.0,"Out of PR, Puerto Rico, US",,0.0
55,Puerto Rico,US,2020-09-20 04:22:56,18.2214149,-66.41328179513847,556,605,0,-49.0,"Unassigned, Puerto Rico, US",,108.81294964028775
56,Recovered,US,2020-09-20 04:22:56,32.4649056,-111.2006877,0,0,2577446,-2577446.0,"Recovered, US",,
57,Rhode Island,US,2020-09-20 04:22:56,41.7962409,-71.59923719999999,2246,1088,0,1158.0,"Unassigned, Rhode Island, US",,48.44167408726626
58,South Carolina,US,2020-09-20 04:22:56,33.687438799999995,-80.4363743,0,0,0,0.0,"Unassigned, South Carolina, US",,
59,South Dakota,US,2020-09-20 04:22:56,44.6471761,-100.348761,0,0,0,0.0,"Unassigned, South Dakota, US",,
60,Tennessee,US,2020-09-20 04:22:56,35.7730076,-86.28200809999998,2811,23,0,2788.0,"Out of TN, Tennessee, US",,0.8182141586623978
61,Tennessee,US,2020-09-20 04:22:56,35.7730076,-86.28200809999998,2803,6,0,2797.0,"Unassigned, Tennessee, US",,0.21405636817695325
62,Texas,US,2020-09-20 04:22:56,31.8160381,-99.51209859999999,0,0,0,0.0,"Unassigned, Texas, US",,
63,Utah,US,2020-09-20 04:22:56,39.4225192,-111.71435840000001,0,0,0,0.0,"Unassigned, Utah, US",,
64,Vermont,US,2020-09-20 04:22:56,44.5990718,-72.5002608,8,0,0,8.0,"Unassigned, Vermont, US",,0.0
65,Virginia,US,2020-09-20 04:22:56,37.1232245,-78.4927721,0,0,0,0.0,"Unassigned, Virginia, US",,
66,Washington,US,2020-09-20 04:22:56,38.8949924,-77.0365581,292,5,0,287.0,"Unassigned, Washington, US",,1.7123287671232876
67,West Virginia,US,2020-09-20 04:22:56,38.475840600000005,-80.84084150000001,0,0,0,0.0,"Unassigned, West Virginia, US",,
68,Wisconsin,US,2020-09-20 04:22:56,44.4308975,-89.6884637,0,0,0,0.0,"Unassigned, Wisconsin, US",,
69,Wyoming,US,2020-09-20 04:22:56,43.1700264,-107.5685348,1,0,0,0.0,"Unassigned, Wyoming, US",,0.0
