,Unnamed: 0,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio,Population
40,40,Montana,US,2020-09-20 04:22:56,47.3752671,-109.63875790000002,0,0,0,0.0,"Unassigned, Montana, US",0.0,,319259000
41,41,Nebraska,US,2020-09-20 04:22:56,41.7370229,-99.5873816,194,0,0,194.0,"Unassigned, Nebraska, US",0.06076571059860489,0.0,319259000
42,42,Nevada,US,2020-09-20 04:22:56,39.5158825,-116.8537227,0,0,0,0.0,"Unassigned, Nevada, US",0.0,,319259000
43,43,New Hampshire,US,2020-09-20 04:22:56,43.4849133,-71.6553992,3,0,0,3.0,"Unassigned, New Hampshire, US",0.0009396759370918282,0.0,319259000
44,44,New Jersey,US,2020-09-20 04:22:56,40.0757384,-74.4041622,316,0,0,316.0,"Unassigned, New Jersey, US",0.0989791987070059,0.0,319259000
45,45,New Mexico,US,2020-09-20 04:22:56,34.5708167,-105.993007,1361,0,0,1361.0,"Unassigned, New Mexico, US",0.42629965012732607,0.0,319259000
46,46,New York,US,2020-09-20 04:22:56,40.7127281,-74.0060152,0,16,0,-16.0,"Unassigned, New York, US",0.0,,319259000
47,47,North Carolina,US,2020-09-20 04:22:56,35.6729639,-79.03929190000002,0,0,0,0.0,"Unassigned, North Carolina, US",0.0,,319259000
48,48,North Dakota,US,2020-09-20 04:22:56,47.6201461,-100.540737,0,0,0,0.0,"Unassigned, North Dakota, US",0.0,,319259000
49,49,Ohio,US,2020-09-20 04:22:56,40.2253569,-82.6881395,0,0,0,0.0,"Unassigned, Ohio, US",0.0,,319259000
50,50,Oklahoma,US,2020-09-20 04:22:56,34.9550817,-97.2684063,0,0,0,0.0,"Out of OK, Oklahoma, US",0.0,,319259000
51,51,Oklahoma,US,2020-09-20 04:22:56,34.9550817,-97.2684063,70,0,0,70.0,"Unassigned, Oklahoma, US",0.021925771865475993,0.0,319259000
52,52,Oregon,US,2020-09-20 04:22:56,43.9792797,-120.737257,0,0,0,0.0,"Unassigned, Oregon, US",0.0,,319259000
53,53,Pennsylvania,US,2020-09-20 04:22:56,40.9699889,-77.72788309999999,0,0,0,0.0,"Unassigned, Pennsylvania, US",0.0,,319259000
54,54,Puerto Rico,US,2020-09-20 04:22:56,18.2214149,-66.41328179513847,777,0,0,777.0,"Out of PR, Puerto Rico, US",0.24337606770678352,0.0,319259000
55,55,Puerto Rico,US,2020-09-20 04:22:56,18.2214149,-66.41328179513847,556,605,0,-49.0,"Unassigned, Puerto Rico, US",0.17415327367435215,108.81294964028775,319259000
56,56,Recovered,US,2020-09-20 04:22:56,32.4649056,-111.2006877,0,0,2577446,-2577446.0,"Recovered, US",0.0,,319259000
57,57,Rhode Island,US,2020-09-20 04:22:56,41.7962409,-71.59923719999998,2246,1088,0,1158.0,"Unassigned, Rhode Island, US",0.7035040515694154,48.44167408726626,319259000
58,58,South Carolina,US,2020-09-20 04:22:56,33.687438799999995,-80.4363743,0,0,0,0.0,"Unassigned, South Carolina, US",0.0,,319259000
59,59,South Dakota,US,2020-09-20 04:22:56,44.6471761,-100.348761,0,0,0,0.0,"Unassigned, South Dakota, US",0.0,,319259000
60,60,Tennessee,US,2020-09-20 04:22:56,35.7730076,-86.28200809999998,2811,23,0,2788.0,"Out of TN, Tennessee, US",0.8804763530550431,0.8182141586623978,319259000
61,61,Tennessee,US,2020-09-20 04:22:56,35.7730076,-86.28200809999998,2803,6,0,2797.0,"Unassigned, Tennessee, US",0.8779705505561315,0.21405636817695325,319259000
62,62,Texas,US,2020-09-20 04:22:56,31.8160381,-99.5120986,0,0,0,0.0,"Unassigned, Texas, US",0.0,,319259000
63,63,Utah,US,2020-09-20 04:22:56,39.4225192,-111.7143584,0,0,0,0.0,"Unassigned, Utah, US",0.0,,319259000
64,64,Vermont,US,2020-09-20 04:22:56,44.5990718,-72.5002608,8,0,0,8.0,"Unassigned, Vermont, US",0.002505802498911542,0.0,319259000
65,65,Virginia,US,2020-09-20 04:22:56,37.1232245,-78.4927721,0,0,0,0.0,"Unassigned, Virginia, US",0.0,,319259000
66,66,Washington,US,2020-09-20 04:22:56,38.8949924,-77.0365581,292,5,0,287.0,"Unassigned, Washington, US",0.09146179121027129,1.7123287671232876,319259000
67,67,West Virginia,US,2020-09-20 04:22:56,38.47584060000001,-80.84084150000002,0,0,0,0.0,"Unassigned, West Virginia, US",0.0,,319259000
68,68,Wisconsin,US,2020-09-20 04:22:56,44.4308975,-89.6884637,0,0,0,0.0,"Unassigned, Wisconsin, US",0.0,,319259000
69,69,Wyoming,US,2020-09-20 04:22:56,43.1700264,-107.5685348,1,0,0,0.0,"Unassigned, Wyoming, US",0.00031322531236394275,0.0,319259000
