,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
3071,Recovered,US,2020-09-20 04:22:56,,,0,0,2577446,-2577446.0,"Recovered, US",,
3076,Rhode Island,US,2020-09-20 04:22:56,,,2246,1088,0,1158.0,"Unassigned, Rhode Island, US",,48.44167408726626
3121,South Carolina,US,2020-09-20 04:22:56,,,0,0,0,0.0,"Unassigned, South Carolina, US",,
3187,South Dakota,US,2020-09-20 04:22:56,,,0,0,0,0.0,"Unassigned, South Dakota, US",,
3258,Tennessee,US,2020-09-20 04:22:56,,,2811,23,0,2788.0,"Out of TN, Tennessee, US",,0.8182141586623978
3278,Tennessee,US,2020-09-20 04:22:56,,,2803,6,0,2797.0,"Unassigned, Tennessee, US",,0.21405636817695325
3518,Texas,US,2020-09-20 04:22:56,,,0,0,0,0.0,"Unassigned, Texas, US",,
3554,Utah,US,2020-09-20 04:22:56,,,0,0,0,0.0,"Unassigned, Utah, US",,
3569,Vermont,US,2020-09-20 04:22:56,,,8,0,0,8.0,"Unassigned, Vermont, US",,0.0
3697,Virginia,US,2020-09-20 04:22:56,,,0,0,0,0.0,"Unassigned, Virginia, US",,
3742,Washington,US,2020-09-20 04:22:56,,,292,5,0,287.0,"Unassigned, Washington, US",,1.7123287671232876
3796,West Virginia,US,2020-09-20 04:22:56,,,0,0,0,0.0,"Unassigned, West Virginia, US",,
3866,Wisconsin,US,2020-09-20 04:22:56,,,0,0,0,0.0,"Unassigned, Wisconsin, US",,
3898,Wyoming,US,2020-09-20 04:22:56,,,1,0,0,0.0,"Unassigned, Wyoming, US",,0.0
