,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio,geom
168,,Cote d'Ivoire,2020-09-20 04:22:56,7.54,-5.5471,19269,120,18392,757.0,Cote d'Ivoire,73.04874939699431,0.6227619492449011,"-5.5471, 7.54"
169,محافظة مأرب,Croatia,2020-09-20 04:22:56,45.1,15.2,14725,244,12353,2128.0,Croatia,358.6854743709788,1.6570458404074704,"15.2, 45.1"
170,,Cuba,2020-09-20 04:22:56,21.521757,-77.78116700000002,5055,113,4284,658.0,Cuba,44.629393280393714,2.235410484668645,"-77.78116700000002, 21.521757"
171,,Cyprus,2020-09-20 04:22:56,35.1264,33.4299,1590,22,1282,286.0,Cyprus,131.69217823004058,1.3836477987421385,"33.4299, 35.1264"
172,محافظة حضرموت,Czechia,2020-09-20 04:22:56,49.8175,15.473,48306,499,24228,23579.0,Czechia,451.07929026307073,1.0329979712665094,"15.473, 49.8175"
175,,Denmark,2020-09-20 04:22:56,56.2639,9.5018,22436,635,17316,4485.0,Denmark,387.3483025370485,2.8302727758958817,"9.5018, 56.2639"
177,Lazio,Djibouti,2020-09-20 04:22:56,11.8251,42.5903,5403,61,5333,9.0,Djibouti,546.8612411715766,1.1290024060707016,"42.5903, 11.8251"
178,,Dominica,2020-09-20 04:22:56,15.415,-61.371,24,0,18,6.0,Dominica,33.337500520898445,0.0,"-61.371, 15.415"
179,,Dominican Republic,2020-09-20 04:22:56,18.7357,-70.1627,107700,2044,80820,24836.0,Dominican Republic,992.8185205178804,1.8978644382544103,"-70.1627, 18.7357"
180,,Ecuador,2020-09-20 04:22:56,-1.8312,-78.1834,125620,11084,97063,17473.0,Ecuador,712.0080076812072,8.82343575863716,"-78.1834, -1.8312"
181,مطروح,Egypt,2020-09-20 04:22:56,26.820553000000004,30.802498,101900,5750,88666,7484.0,Egypt,99.57550639153091,5.642787046123651,"30.802498, 26.820553000000004"
182,,El Salvador,2020-09-20 04:22:56,13.7942,-88.8965,27428,808,21247,5373.0,El Salvador,422.86694476473986,2.945894706139711,"-88.8965, 13.7942"
183,Atakora,Equatorial Guinea,2020-09-20 04:22:56,1.6508,10.2679,5002,83,4509,410.0,Equatorial Guinea,356.5255508790187,1.6593362654938024,"10.2679, 1.6508"
184,,Eritrea,2020-09-20 04:22:56,15.1794,39.7823,364,0,305,59.0,Eritrea,10.263851476429657,0.0,"39.7823, 15.1794"
