,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio,geom
3929,województwo podlaskie,United Arab Emirates,2020-09-20 04:22:56,23.424076,53.847818,84242,404,73512,10326.0,United Arab Emirates,851.755237401925,0.4795707604282899,"53.847818, 23.424076"
3945,,Uruguay,2020-09-20 04:22:56,-32.5228,-55.7658,1904,46,1612,246.0,Uruguay,54.81144603476324,2.4159663865546217,"-55.7658, -32.5228"
3946,Архангельская область,Uzbekistan,2020-09-20 04:22:56,41.377491,64.585262,50992,427,47271,3294.0,Uzbekistan,152.35500556795515,0.8373862566677126,"64.585262, 41.377491"
3947,,Venezuela,2020-09-20 04:22:56,6.4238,-66.5897,65949,539,55155,10255.0,Venezuela,231.92126950036442,0.8172982152875707,"-66.5897, 6.4238"
3948,,Vietnam,2020-09-20 04:22:56,14.058324,108.277199,1068,35,942,91.0,Vietnam,1.0972010965066137,3.2771535580524342,"108.277199, 14.058324"
3949,,West Bank and Gaza,2020-09-20 04:22:56,31.9522,35.2332,35003,253,23446,11304.0,West Bank and Gaza,686.1428277952631,0.7227951889838014,"35.2332, 31.9522"
3950,North-Western Province,Western Sahara,2020-09-20 04:22:56,24.2155,-12.8858,10,1,8,1.0,Western Sahara,1.674116485025028,10.0,"-12.8858, 24.2155"
3951,Niederösterreich,Yemen,2020-09-20 04:22:56,15.552727,48.516388,2026,585,1221,220.0,Yemen,6.79273846200063,28.874629812438307,"48.516388, 15.552727"
3952,,Zambia,2020-09-20 04:22:56,-13.133897,27.849332,14070,330,13365,375.0,Zambia,76.53412573441756,2.345415778251599,"27.849332, -13.133897"
3953,,Zimbabwe,2020-09-20 04:22:56,-19.015438,29.154857,7672,225,5914,1533.0,Zimbabwe,51.6183656153327,2.93274244004171,"29.154857, -19.015438"
