,Unnamed: 0,param_n_neighbors,param_weights,param_metric,mean_train_Accuracy,mean_train_recall_score,recall_deceased
0,0,3,distance,manhattan,0.7666487529079183,0.5773870423203377,0.11752523945120373
1,1,3,uniform,manhattan,0.7654819046497247,0.5708806297056265,0.0947450168263008
2,2,4,distance,manhattan,0.7849620130156953,0.5724607056522486,0.0704115972042454
