,Unnamed: 0_x,country,province,age,sex,RecoveryRate,Hospitalizations,NonHospitalizations,deceased,Unnamed: 0_y,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio
34,124,Canada,Manitoba,52.57142857142857,0.5,0.0,0.0,0.25,0.0,52,1558,16,1211,331.0,113.10205246105856,1.0269576379974326
35,125,Canada,New Brunswick,50.66666666666666,0.8333333333333334,0.0,0.0,0.25,0.0,53,194,2,192,0.0,24.872018082213557,1.0309278350515465
36,126,Canada,Newfoundland and Labrador,40.0,0.0,0.0,0.0,0.25,0.0,54,272,3,267,2.0,52.17074410441821,1.1029411764705883
37,127,Canada,Nova Scotia,54.5,0.625,0.0,0.0,0.25,0.0,56,1086,65,1021,0.0,111.10463171269942,5.985267034990794
38,128,Canada,Ontario,48.516393442622956,0.4836065573770492,0.008196721311475409,0.0,0.24180327868852455,0.0,57,48317,2876,42573,2868.0,328.4228396649852,5.952356313512842
39,129,Canada,Prince Edward Island,49.0,0.5,0.0,0.0,0.25,0.0,58,57,0,56,1.0,36.039909457630976,0.0
40,130,Canada,Quebec,42.46153846153846,0.5769230769230769,0.0,0.0,0.25,0.0,59,67080,5797,58490,2793.0,785.6940895143103,8.641920095408468
41,131,Canada,Saskatchewan,40.214285714285715,0.5714285714285714,0.0,0.0,0.25,0.0,60,1787,24,1642,121.0,151.22716571349258,1.3430330162283155
42,132,Chile,Antofagasta,56.16666666666666,0.3333333333333333,0.0,0.0,0.25,0.0,63,19391,489,18423,479.0,3191.755523147676,2.521788458563251
43,133,Chile,Araucania,47.83333333333334,0.3333333333333333,0.0,0.0,0.25,0.0,64,6358,103,5770,485.0,664.2123473711482,1.620006291286568
44,134,Chile,Arica y Parinacota,40.0,1.0,0.0,0.0,0.25,0.0,65,7561,138,7030,393.0,3344.568890776226,1.825155402724508
45,135,Chile,Atacama,45.0,0.5,0.0,0.0,0.25,0.0,66,6552,56,6083,413.0,2267.5674179079683,0.8547008547008547
46,136,Chile,Aysen,61.5,0.5,0.0,0.0,0.25,0.0,67,223,1,155,67.0,216.1732488028073,0.4484304932735426
47,137,Chile,Biobio,42.583333333333336,0.5833333333333334,0.0,0.0,0.25,0.0,68,21564,286,19404,1874.0,1385.144574946766,1.3262845483212762
48,138,Chile,Coquimbo,38.25,0.75,0.0,0.0,0.25,0.0,69,11497,192,10756,549.0,1517.5834822713198,1.6700008697921196
49,139,Chile,Los Lagos,41.142857142857146,0.42857142857142855,0.0,0.0,0.25,0.0,70,8086,85,7312,689.0,975.7357235600476,1.0511996042542666
50,140,Chile,Los Rios,38.75,0.75,0.0,0.0,0.25,0.0,71,1500,15,1254,231.0,389.77541140794676,1.0
51,141,Chile,Magallanes,58.0,0.3333333333333333,0.0,0.0,0.25,0.0,72,6273,64,4924,1285.0,3766.8209904343294,1.0202454965726129
52,142,Chile,Maule,59.75,0.3333333333333333,0.0,0.0,0.25,0.0,73,14317,297,12693,1327.0,1370.1134025551462,2.074456939302926
53,144,Chile,Nuble,27.7,0.8,0.0,0.0,0.25,0.0,75,5881,105,5223,553.0,1223.6558200116935,1.7854106444482232
54,145,Chile,OHiggins,40.0,0.5,0.0,0.0,0.25,0.0,76,15386,383,14218,785.0,1682.3482458682092,2.489275965163136
55,147,Chile,Tarapaca,53.5,0.0,0.0,0.0,0.25,0.0,77,11401,218,10898,285.0,3449.016511474537,1.912112972546268
56,148,Chile,Valparaiso,45.4,0.6,0.0,0.0,0.25,0.0,78,26095,823,24120,1152.0,1437.026888014882,3.1538608928913585
57,149,China,Anhui,45.22395833333334,0.5572916666666666,0.0026041666666666665,0.0,0.2473958333333333,0.0,79,991,6,985,0.0,1.5670461733080334,0.6054490413723511
58,150,China,Beijing,42.16666666666666,0.5454545454545454,0.03787878787878788,0.0,0.21212121212121213,0.0,80,935,9,926,0.0,4.340761374187558,0.9625668449197858
59,151,China,Chongqing,44.30985915492958,0.5633802816901409,0.0035211267605633804,0.0,0.24647887323943665,0.0,81,584,6,577,1.0,1.8826563507414569,1.0273972602739727
60,152,China,Fujian,46.338028169014095,0.5211267605633803,0.0,0.0,0.25,0.0,82,395,1,380,14.0,1.002283684344075,0.2531645569620253
61,153,China,Gansu,44.725,0.4375,0.0375,0.0,0.2,0.0125,83,170,2,168,0.0,0.6446719757299962,1.1764705882352942
62,154,China,Guangdong,44.53947368421053,0.5263157894736842,0.0,0.0,0.25,0.0,84,1797,8,1767,22.0,1.5838180856689583,0.44518642181413465
63,155,China,Guangxi,45.95348837209303,0.5465116279069767,0.005813953488372093,0.0,0.2441860465116279,0.0,85,258,2,253,3.0,0.5237515225334958,0.7751937984496124
64,156,China,Guizhou,42.13333333333333,0.5166666666666667,0.05,0.0,0.2,0.0,86,147,2,145,0.0,0.4083333333333333,1.3605442176870748
