,Country_Region,Province_State,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio
71,Chile,Los Rios,1500,15,1254,231.0,389.77541140794676,1.0
72,Chile,Magallanes,6273,64,4924,1285.0,3766.8209904343294,1.0202454965726129
73,Chile,Maule,14317,297,12693,1327.0,1370.1134025551462,2.074456939302926
74,Chile,Metropolitana,282535,8998,269784,3753.0,3972.2005711387123,3.184738174031536
75,Chile,Nuble,5881,105,5223,553.0,1223.6558200116935,1.7854106444482232
76,Chile,OHiggins,15386,383,14218,785.0,1682.3482458682092,2.4892759651631358
77,Chile,Tarapaca,11401,218,10898,285.0,3449.016511474537,1.912112972546268
78,Chile,Valparaiso,26095,823,24120,1152.0,1437.026888014882,3.1538608928913585
79,China,Anhui,991,6,985,0.0,1.5670461733080334,0.6054490413723511
80,China,Beijing,935,9,926,0.0,4.340761374187558,0.9625668449197858
81,China,Chongqing,584,6,577,1.0,1.8826563507414569,1.0273972602739727
82,China,Fujian,395,1,380,14.0,1.002283684344075,0.2531645569620253
83,China,Gansu,170,2,168,0.0,0.6446719757299962,1.1764705882352942
84,China,Guangdong,1797,8,1767,22.0,1.5838180856689583,0.44518642181413465
85,China,Guangxi,258,2,253,3.0,0.5237515225334958,0.7751937984496124
86,China,Guizhou,147,2,145,0.0,0.4083333333333333,1.3605442176870748
87,China,Hainan,171,6,165,0.0,1.8308351177730195,3.5087719298245608
88,China,Hebei,365,6,356,3.0,0.4830598200105876,1.643835616438356
89,China,Heilongjiang,948,13,935,0.0,2.5125894513649616,1.3713080168776368
90,China,Henan,1279,22,1254,3.0,1.331598125976054,1.7200938232994527
91,China,Hong Kong,5009,103,4708,198.0,66.81349896785214,2.056298662407666
92,China,Hubei,68139,4512,63627,0.0,115.1580192665202,6.6217584643155885
93,China,Hunan,1019,4,1015,0.0,1.4770256558921582,0.3925417075564279
94,China,Inner Mongolia,261,1,259,1.0,1.0299921073401737,0.3831417624521073
95,China,Jiangsu,665,0,664,1.0,0.8259843497702148,0.0
96,China,Jiangxi,935,1,934,0.0,2.011617900172117,0.106951871657754
97,China,Jilin,157,2,155,0.0,0.5806213017751479,1.2738853503184713
98,China,Liaoning,265,2,262,1.0,0.6079376003670567,0.7547169811320755
99,China,Macau,46,0,46,0.0,7.084094360136879,0.0
100,China,Ningxia,75,0,75,0.0,1.0901162790697674,0.0
101,China,Qinghai,18,0,18,0.0,0.29850746268656714,0.0
102,China,Shaanxi,399,3,372,24.0,1.0326086956521738,0.7518796992481203
103,China,Shandong,831,7,815,9.0,0.8271125709166915,0.8423586040914561
104,China,Shanghai,972,7,916,49.0,4.00990099009901,0.7201646090534979
105,China,Shanxi,203,0,203,0.0,0.5459924690693921,0.0
106,China,Sichuan,672,3,652,17.0,0.8056587939096032,0.44642857142857145
107,China,Tianjin,237,3,226,8.0,1.5192307692307692,1.2658227848101269
108,China,Tibet,1,0,1,0.0,0.02906976744186046,0.0
109,China,Xinjiang,902,3,899,0.0,3.626859670285485,0.3325942350332594
110,China,Yunnan,206,2,196,8.0,0.42650103519668736,0.9708737864077672
111,China,Zhejiang,1282,1,1272,9.0,2.2346173958514903,0.078003120124805
112,Colombia,Amazonas,2732,115,2597,20.0,3567.091880034992,4.209370424597363
113,Colombia,Antioquia,102501,2187,85968,14346.0,1599.8028437817914,2.133637720607604
114,Colombia,Arauca,1449,34,1122,293.0,552.6863838519456,2.3464458247066937
115,Colombia,Atlantico,66512,3016,61671,1825.0,2623.212544029482,4.5345200866009145
116,Colombia,Bolivar,27972,754,25630,1588.0,1351.2325431981876,2.695552695552696
117,Colombia,Boyaca,5995,117,4266,1612.0,492.4526194043582,1.9516263552960802
118,Colombia,Caldas,4653,106,3183,1364.0,466.1133678268579,2.2781001504405762
119,Colombia,Capital District,250490,6408,205741,38341.0,3379.261648395441,2.5581859555271667
120,Colombia,Caqueta,7759,274,6504,981.0,1932.556060066403,3.5313829101688365
121,Colombia,Casanare,1771,41,1203,527.0,421.1612731389,2.3150762281197066
122,Colombia,Cauca,8192,224,6257,1711.0,559.3763827358093,2.734375
123,Colombia,Cesar,17236,494,12740,4002.0,1435.6466157021555,2.866094221397076
124,Colombia,Choco,3930,154,3636,140.0,734.8184269276362,3.918575063613232
125,Colombia,Cordoba,22745,1480,19406,1859.0,1274.384617065492,6.506924598812926
126,Colombia,Cundinamarca,30582,898,25087,4597.0,1047.666029475242,2.9363677980511413
127,Colombia,Guainia,547,10,234,303.0,1136.8832356486678,1.828153564899452
128,Colombia,Guaviare,628,11,417,200.0,758.7565092367731,1.7515923566878984
129,Colombia,Huila,9380,282,6258,2840.0,852.4281479408135,3.0063965884861408
130,Colombia,La Guajira,7207,275,5698,1234.0,818.4564368129373,3.815734702372693
131,Colombia,Magdalena,14454,789,12119,1546.0,1077.2530717438324,5.4586965545869655
132,Colombia,Meta,14066,366,11374,2326.0,1352.8616303204124,2.602019053035689
133,Colombia,Narino,17412,638,14545,2229.0,1067.8330324201272,3.6641396737881915
134,Colombia,Norte de Santander,14427,831,11890,1706.0,967.1587039925882,5.7600332709503
135,Colombia,Putumayo,3619,160,3065,394.0,1039.3989350397203,4.421110804089527
136,Colombia,Quindio,2531,76,1571,884.0,468.7870436225699,3.0027657052548395
137,Colombia,Risaralda,9468,195,6938,2335.0,1003.602921769216,2.0595690747782003
138,Colombia,San Andres y Providencia,841,9,337,495.0,1372.3890339425589,1.070154577883472
139,Colombia,Santander,27012,1158,20338,5516.0,1236.3393699392675,4.286983562860952
140,Colombia,Sucre,13512,559,11964,989.0,1493.264726262429,4.137063351095323
141,Colombia,Tolima,10862,277,8129,2456.0,816.5769173807892,2.5501749217455347
142,Colombia,Valle del Cauca,56837,2092,47119,7626.0,1269.8491427172185,3.680700951844748
143,Colombia,Vaupes,679,5,457,217.0,1664.3380640733387,0.7363770250368189
144,Colombia,Vichada,397,4,221,172.0,368.24725437815374,1.0075566750629723
145,Congo (Brazzaville),Gao,4986,89,3887,1010.0,90.35731916031843,1.784997994384276
146,Congo (Kinshasa),Tombouctou,10488,268,9891,329.0,11.710401502861655,2.555301296720061
147,Croatia,محافظة مأرب,14725,244,12353,2128.0,358.6854743709788,1.6570458404074704
148,Czechia,محافظة حضرموت,48306,499,24228,23579.0,451.07929026307073,1.0329979712665094
149,Denmark,Faroe Islands,431,0,412,19.0,882.0218970633377,0.0
150,Denmark,Greenland,14,0,14,0.0,24.660043683505954,0.0
151,Djibouti,Lazio,5403,61,5333,9.0,546.8612411715766,1.1290024060707016
152,Egypt,مطروح,101900,5750,88666,7484.0,99.57550639153091,5.642787046123651
153,Equatorial Guinea,Atakora,5002,83,4509,410.0,356.5255508790187,1.6593362654938024
154,Ethiopia,Sardegna,68131,1089,27939,39103.0,59.26311465083687,1.5983913343411955
155,Finland,بلوچستان,8922,339,7700,883.0,161.0260619652543,3.799596503026226
156,France,French Guiana,9692,65,9341,286.0,3244.922693700993,0.6706562113082954
157,France,French Polynesia,1271,2,1028,241.0,452.4677469882949,0.15735641227380015
158,France,Guadeloupe,3426,26,837,2563.0,856.2281475631488,0.7589025102159953
159,France,Martinique,1122,18,98,1006.0,298.98871464165325,1.60427807486631
160,France,Mayotte,3541,40,2964,537.0,1297.9586749898285,1.1296243998870377
161,France,New Caledonia,26,0,26,0.0,9.107117212101258,0.0
162,France,Reunion,3194,15,2482,697.0,356.74873898144546,0.469630557294928
163,France,Saint Barthelemy,23,0,16,7.0,232.6757713707637,0.0
164,France,Saint Pierre and Miquelon,11,0,5,6.0,189.8188093183779,0.0
165,France,St Martin,330,6,206,118.0,853.6175276132336,1.818181818181818
166,Gambia,Huíla,3504,108,1992,1404.0,144.9932634408424,3.0821917808219177
167,Georgia,Карачаево-Черкесия,3306,19,1481,1806.0,82.87427851623455,0.5747126436781609
168,Germany,Baden-Wurttemberg,46779,1871,41228,3680.0,422.5923532636833,3.9996579661814073
169,Germany,Bayern,64465,2648,56398,5419.0,492.9752649765945,4.1076553168385965
170,Germany,Berlin,13064,227,11667,1170.0,358.42588919196686,1.7375995101041029
171,Germany,Brandenburg,4117,173,3792,152.0,163.8987275455359,4.202088899684236
172,Germany,Bremen,2192,59,2015,118.0,320.94362109911475,2.6916058394160585
173,Germany,Hamburg,7149,269,6129,751.0,388.28381162287866,3.7627640229402712
174,Germany,Hessen,17516,543,15649,1324.0,279.54889783585804,3.100022836263987
175,Germany,Mecklenburg-Vorpommern,1105,20,1014,71.0,68.64739776662991,1.8099547511312213
176,Germany,Niedersachsen,18775,669,16482,1624.0,235.2035365592109,3.5632490013315583
177,Germany,Nordrhein-Westfalen,64692,1844,58524,4324.0,360.7497854054038,2.8504297285599463
178,Germany,Rheinland-Pfalz,10075,247,9057,771.0,246.6434458696587,2.4516129032258065
179,Germany,Saarland,3275,176,3003,96.0,330.63808607493723,5.374045801526719
180,Germany,Sachsen,6658,226,5826,606.0,163.26882931246854,3.3944127365575247
181,Germany,Sachsen-Anhalt,2423,66,2213,144.0,109.72136750046757,2.723895996698308
182,Germany,Schleswig-Holstein,4384,161,3981,242.0,151.34400658401663,3.672445255474453
183,Germany,Thuringen,3919,189,3532,198.0,182.86210219093903,4.82265884154121
184,Greece,منطقة مكة المكرمة,14978,331,1347,13300.0,143.70065746552643,2.2099078648684736
185,Holy See,አፋር ክልል / Afar,12,0,12,0.0,1483.3127317676144,0.0
186,India,Andaman and Nicobar Islands,3631,52,3414,165.0,870.6682396723544,1.4321123657394657
187,India,Andhra Pradesh,609558,5244,519891,84423.0,1130.8341944263138,0.8602954927997007
188,India,Arunachal Pradesh,7005,13,5106,1886.0,446.0482228751103,0.18558172733761602
189,India,Assam,152858,540,123687,28631.0,429.2915229485945,0.3532690470894556
190,India,Bihar,165218,859,151750,12609.0,132.3862964470027,0.519919137140021
191,India,Chandigarh,9506,113,6415,2978.0,820.5629306854802,1.1887229118451503
192,India,Chhattisgarh,81617,645,44392,36580.0,277.2671542087029,0.790276535525687
193,India,Dadra and Nagar Haveli and Daman and Diu,2859,2,2639,218.0,464.33142122119654,0.06995452955578874
194,India,Delhi,238828,4907,201671,32250.0,1276.4095751134014,2.0546167116083542
195,India,Goa,27379,335,21314,5730.0,1726.02048857368,1.2235655064100224
196,India,Gujarat,120336,3286,100974,16076.0,188.4006266932294,2.7306874085892834
197,India,Haryana,106261,1092,83878,21291.0,376.749372054834,1.0276583130217107
198,India,Himachal Pradesh,11622,111,7081,4430.0,155.95907382693534,0.9550851832731028
199,India,Jammu and Kashmir,61041,966,39305,20770.0,448.6224048824369,1.5825428810144002
200,India,Jharkhand,68578,602,54052,13924.0,177.69107218572196,0.8778325410481496
201,India,Karnataka,502982,7808,394026,101148.0,744.4671456667662,1.5523418333061618
202,India,Kerala,126381,501,90085,35795.0,354.0139267719107,0.3964203479953474
203,India,Ladakh,3635,48,2600,987.0,1325.2445413414318,1.3204951856946354
204,India,Lakshadweep,0,0,0,0.0,0.0,0.0
205,India,Madhya Pradesh,100458,1901,76952,21605.0,117.68886841587171,1.89233311433634
206,India,Maharashtra,1167496,31791,834432,301273.0,948.0720829266996,2.7230071880331925
207,India,Manipur,8607,52,6629,1926.0,278.40448707685,0.6041594051353549
208,India,Meghalaya,4445,32,2437,1976.0,132.02800359995368,0.7199100112485939
209,India,Mizoram,1548,0,973,575.0,124.91486745144621,0.0
210,India,Nagaland,5357,15,4129,1213.0,238.1211675360437,0.2800074668657831
211,India,Odisha,171341,682,137567,33092.0,369.61723504710267,0.3980366637290549
212,India,Puducherry,21913,462,16715,4736.0,1550.219236499517,2.1083375165426914
213,India,Punjab,92833,2708,68463,21662.0,307.99194184020746,2.9170661295013627
214,India,Rajasthan,111290,1308,92265,17717.0,137.33963585979478,1.1753077545152304
215,India,Sikkim,2303,24,1857,422.0,333.646745893885,1.0421189752496742
216,India,Tamil Nadu,530908,8685,475717,46506.0,682.0392581739452,1.6358766490616077
217,India,Telangana,169169,1025,137508,30636.0,429.7694580752169,0.6059029727668781
218,India,Tripura,21484,235,14142,7107.0,515.2292895044695,1.093837274250605
219,India,Uttar Pradesh,342788,4869,270094,67825.0,144.09957679776872,1.4204114496423446
220,India,Uttarakhand,38007,464,26250,11293.0,337.81423603426515,1.2208277422580052
221,India,West Bengal,218772,4242,190021,24509.0,219.63008816556012,1.9390049914979977
222,Iran,Могилёвская область,419043,24118,357632,37293.0,498.90256864763404,5.755495259436383
223,Italy,Abruzzo,4137,474,2984,679.0,315.4210951676604,11.457577955039884
224,Italy,Basilicata,631,28,438,165.0,112.10423739804466,4.437400950871632
225,Italy,Calabria,1810,98,1267,445.0,92.95727919693128,5.414364640883979
226,Italy,Campania,10089,456,5060,4573.0,173.8975457504466,4.519774011299433
227,Italy,Emilia-Romagna,34225,4474,25313,4438.0,767.4666782674292,13.072315558802044
228,Italy,Friuli Venezia Giulia,4345,350,3314,681.0,357.54842744523626,8.055235903337168
229,Italy,Lazio,14179,890,7751,5538.0,241.17710894319896,6.276888356019465
230,Italy,Liguria,12407,1588,9386,1433.0,800.1212402620853,12.799226243249779
231,Italy,Marche,7703,989,6093,621.0,505.02500867059035,12.839153576528625
232,Italy,Molise,586,23,459,104.0,191.7432603552813,3.9249146757679183
233,Italy,P.A. Bolzano,3281,292,2584,405.0,616.3608970577737,8.899725693386163
234,Italy,P.A. Trento,5689,405,4750,534.0,1050.7593024243745,7.119001582000352
235,Italy,Piemonte,34241,4154,27783,2304.0,785.9919392269683,12.131655033439445
236,Italy,Puglia,6944,578,4278,2088.0,172.34819199449598,8.323732718894009
237,Italy,Sardegna,3167,141,1431,1595.0,193.1579278002868,4.452162930217872
238,Italy,Sicilia,5846,296,3318,2232.0,116.92254891156628,5.063291139240507
239,Italy,Toscana,13665,1152,9686,2827.0,366.38915112741415,8.430296377607025
240,Italy,Umbria,2192,83,1638,471.0,248.52185053542166,3.7864963503649633
241,Italy,Valle d'Aosta,1276,146,1082,48.0,1015.3900020689764,11.442006269592474
242,Italy,Veneto,25609,2158,20406,3045.0,522.0090120904537,8.426724979499395
243,Japan,Aichi,5077,79,4554,444.0,67.22509708710224,1.5560370297419737
244,Japan,Akita,52,0,51,1.0,5.3802936398721135,0.0
245,Japan,Aomori,35,1,32,2.0,2.808152628711676,2.8571428571428568
246,Japan,Chiba,3603,68,3174,361.0,57.56159314130373,1.887316125451013
247,Japan,Ehime,114,6,108,0.0,8.512449457331346,5.2631578947368425
248,Japan,Fukui,244,9,215,20.0,31.773439748312693,3.6885245901639343
249,Japan,Fukuoka,5000,89,4629,282.0,97.96854386806066,1.78
250,Japan,Fukushima,218,2,180,36.0,11.812395320774266,0.9174311926605504
251,Japan,Gifu,597,10,552,35.0,30.05154065741898,1.6750418760469012
252,Japan,Gunma,644,19,480,145.0,33.15390412961735,2.950310559006211
253,Japan,Hiroshima,472,3,461,8.0,16.832033070665652,0.6355932203389829
254,Japan,Hokkaido,1933,106,1742,85.0,36.81870397781049,5.483704086911536
255,Japan,Hyogo,2582,56,2349,177.0,47.23582605068613,2.1688613477924092
256,Japan,Ibaraki,623,16,568,39.0,21.780878765810805,2.5682182985553768
257,Japan,Ishikawa,750,44,636,70.0,65.92543042713525,5.866666666666666
